"","cell_type","title","donor id","status"
"SRR2775638","blast cell","singles-SU070-Leuk-1","SU070","AML"
"SRR2775639","blast cell","singles-SU070-Leuk-2","SU070","AML"
"SRR2775641","blast cell","singles-SU070-Leuk-3","SU070","AML"
"SRR2775643","blast cell","singles-SU070-Leuk-4","SU070","AML"
"SRR2775645","blast cell","singles-SU070-Leuk-5","SU070","AML"
"SRR2775647","blast cell","singles-SU070-Leuk-6","SU070","AML"
"SRR2775649","blast cell","singles-SU070-Leuk-7","SU070","AML"
"SRR2775651","blast cell","singles-SU070-Leuk-8","SU070","AML"
"SRR2775653","blast cell","singles-SU070-Leuk-9","SU070","AML"
"SRR2775654","blast cell","singles-SU070-Leuk-10","SU070","AML"
"SRR2775656","blast cell","singles-SU070-Leuk-11","SU070","AML"
"SRR2775658","blast cell","singles-SU070-Leuk-12","SU070","AML"
"SRR2775660","blast cell","singles-SU070-Leuk-13","SU070","AML"
"SRR2775662","blast cell","singles-SU070-Leuk-14","SU070","AML"
"SRR2775664","blast cell","singles-SU070-Leuk-15","SU070","AML"
"SRR2775666","blast cell","singles-SU070-Leuk-16","SU070","AML"
"SRR2775668","blast cell","singles-SU070-Leuk-17","SU070","AML"
"SRR2775670","blast cell","singles-SU070-Leuk-18","SU070","AML"
"SRR2775672","blast cell","singles-SU070-Leuk-19","SU070","AML"
"SRR2775673","blast cell","singles-SU070-Leuk-20","SU070","AML"
"SRR2775675","blast cell","singles-SU070-Leuk-21","SU070","AML"
"SRR2775677","blast cell","singles-SU070-Leuk-22","SU070","AML"
"SRR2775679","blast cell","singles-SU070-Leuk-23","SU070","AML"
"SRR2775681","blast cell","singles-SU070-Leuk-24","SU070","AML"
"SRR2775683","blast cell","singles-SU070-Leuk-25","SU070","AML"
"SRR2775685","blast cell","singles-SU070-Leuk-26","SU070","AML"
"SRR2775687","blast cell","singles-SU070-Leuk-27","SU070","AML"
"SRR2775689","blast cell","singles-SU070-Leuk-28","SU070","AML"
"SRR2775691","blast cell","singles-SU070-Leuk-29","SU070","AML"
"SRR2775692","blast cell","singles-SU070-Leuk-30","SU070","AML"
"SRR2775693","blast cell","singles-SU070-Leuk-31","SU070","AML"
"SRR2775694","blast cell","singles-SU070-Leuk-32","SU070","AML"
"SRR2775695","blast cell","singles-SU070-Leuk-33","SU070","AML"
"SRR2775696","blast cell","singles-SU070-Leuk-34","SU070","AML"
"SRR2775697","blast cell","singles-SU070-Leuk-35","SU070","AML"
"SRR2775698","blast cell","singles-SU070-Leuk-36","SU070","AML"
"SRR2775699","blast cell","singles-SU070-Leuk-37","SU070","AML"
"SRR2775700","blast cell","singles-SU070-Leuk-38","SU070","AML"
"SRR2775701","blast cell","singles-SU070-Leuk-39","SU070","AML"
"SRR2775702","blast cell","singles-SU070-Leuk-40","SU070","AML"
"SRR2775703","blast cell","singles-SU070-Leuk-41","SU070","AML"
"SRR2775704","blast cell","singles-SU070-Leuk-42","SU070","AML"
"SRR2775705","blast cell","singles-SU070-Leuk-43","SU070","AML"
"SRR2775706","blast cell","singles-SU070-Leuk-44","SU070","AML"
"SRR2775707","blast cell","singles-SU070-Leuk-45","SU070","AML"
"SRR2775708","blast cell","singles-SU070-Leuk-46","SU070","AML"
"SRR2775709","blast cell","singles-SU070-Leuk-47","SU070","AML"
"SRR2775710","blast cell","singles-SU070-Leuk-48","SU070","AML"
"SRR2775711","blast cell","singles-SU070-Leuk-49","SU070","AML"
"SRR2775712","blast cell","singles-SU070-Leuk-50","SU070","AML"
"SRR2775713","blast cell","singles-SU070-Leuk-51","SU070","AML"
"SRR2775714","blast cell","singles-SU070-Leuk-52","SU070","AML"
"SRR2775715","blast cell","singles-SU070-Leuk-53","SU070","AML"
"SRR2775716","blast cell","singles-SU070-Leuk-54","SU070","AML"
"SRR2775717","blast cell","singles-SU070-Leuk-55","SU070","AML"
"SRR2775718","blast cell","singles-SU070-Leuk-56","SU070","AML"
"SRR2775719","blast cell","singles-SU070-Leuk-57","SU070","AML"
"SRR2775720","blast cell","singles-SU070-Leuk-58","SU070","AML"
"SRR2775721","blast cell","singles-SU070-Leuk-59","SU070","AML"
"SRR2775722","blast cell","singles-SU070-Leuk-60","SU070","AML"
"SRR2775723","blast cell","singles-SU070-Leuk-61","SU070","AML"
"SRR2775724","blast cell","singles-SU070-Leuk-62","SU070","AML"
"SRR2775725","blast cell","singles-SU070-Leuk-63","SU070","AML"
"SRR2775726","blast cell","singles-SU070-Leuk-64","SU070","AML"
"SRR2775727","blast cell","singles-SU070-Leuk-65","SU070","AML"
"SRR2775728","blast cell","singles-SU070-Leuk-66","SU070","AML"
"SRR2775729","blast cell","singles-SU070-Leuk-67","SU070","AML"
"SRR2775730","blast cell","singles-SU070-Leuk-68","SU070","AML"
"SRR2775731","blast cell","singles-SU070-Leuk-69","SU070","AML"
"SRR2775732","blast cell","singles-SU070-Leuk-70","SU070","AML"
"SRR2775733","blast cell","singles-SU070-Leuk-71","SU070","AML"
"SRR2775734","blast cell","singles-SU070-Leuk-72","SU070","AML"
"SRR2775735","blast cell","singles-SU070-Leuk-73","SU070","AML"
"SRR2775736","blast cell","singles-SU070-Leuk-74","SU070","AML"
"SRR2775737","blast cell","singles-SU070-Leuk-75","SU070","AML"
"SRR2775738","blast cell","singles-SU070-Leuk-76","SU070","AML"
"SRR2775739","blast cell","singles-SU070-Leuk-77","SU070","AML"
"SRR2775740","blast cell","singles-SU070-Leuk-78","SU070","AML"
"SRR2775741","blast cell","singles-SU070-Leuk-79","SU070","AML"
"SRR2775742","blast cell","singles-SU070-Leuk-80","SU070","AML"
"SRR2775743","blast cell","singles-SU070-Leuk-81","SU070","AML"
"SRR2775744","blast cell","singles-SU070-Leuk-82","SU070","AML"
"SRR2775745","blast cell","singles-SU070-Leuk-83","SU070","AML"
"SRR2775746","blast cell","singles-SU070-Leuk-84","SU070","AML"
"SRR2775747","blast cell","singles-SU070-Leuk-85","SU070","AML"
"SRR2775748","blast cell","singles-SU070-Leuk-86","SU070","AML"
"SRR2775749","blast cell","singles-SU070-Leuk-87","SU070","AML"
"SRR2775750","blast cell","singles-SU070-Leuk-88","SU070","AML"
"SRR2775751","blast cell","singles-SU070-Leuk-89","SU070","AML"
"SRR2775752","blast cell","singles-SU070-Leuk-90","SU070","AML"
"SRR2775753","blast cell","singles-SU070-Leuk-91","SU070","AML"
"SRR2775754","blast cell","singles-SU070-Leuk-92","SU070","AML"
"SRR2775755","blast cell","singles-SU070-Leuk-93","SU070","AML"
"SRR2775756","blast cell","singles-SU070-Leuk-94","SU070","AML"
"SRR2775757","blast cell","singles-SU070-Leuk-95","SU070","AML"
"SRR2775758","blast cell","singles-SU070-Leuk-96","SU070","AML"
"SRR2775759","LSC","singles-SU070-LSC-1","SU070","AML"
"SRR2775760","LSC","singles-SU070-LSC-2","SU070","AML"
"SRR2775761","LSC","singles-SU070-LSC-3","SU070","AML"
"SRR2775762","LSC","singles-SU070-LSC-4","SU070","AML"
"SRR2775763","LSC","singles-SU070-LSC-5","SU070","AML"
"SRR2775764","LSC","singles-SU070-LSC-6","SU070","AML"
"SRR2775765","LSC","singles-SU070-LSC-7","SU070","AML"
"SRR2775766","LSC","singles-SU070-LSC-8","SU070","AML"
"SRR2775767","LSC","singles-SU070-LSC-9","SU070","AML"
"SRR2775768","LSC","singles-SU070-LSC-10","SU070","AML"
"SRR2775769","LSC","singles-SU070-LSC-11","SU070","AML"
"SRR2775770","LSC","singles-SU070-LSC-12","SU070","AML"
"SRR2775771","LSC","singles-SU070-LSC-13","SU070","AML"
"SRR2775772","LSC","singles-SU070-LSC-14","SU070","AML"
"SRR2775773","LSC","singles-SU070-LSC-15","SU070","AML"
"SRR2775774","LSC","singles-SU070-LSC-16","SU070","AML"
"SRR2775775","LSC","singles-SU070-LSC-17","SU070","AML"
"SRR2775776","LSC","singles-SU070-LSC-18","SU070","AML"
"SRR2775777","LSC","singles-SU070-LSC-19","SU070","AML"
"SRR2775778","LSC","singles-SU070-LSC-20","SU070","AML"
"SRR2775779","LSC","singles-SU070-LSC-21","SU070","AML"
"SRR2775780","LSC","singles-SU070-LSC-22","SU070","AML"
"SRR2775781","LSC","singles-SU070-LSC-23","SU070","AML"
"SRR2775782","LSC","singles-SU070-LSC-24","SU070","AML"
"SRR2775783","LSC","singles-SU070-LSC-25","SU070","AML"
"SRR2775784","LSC","singles-SU070-LSC-26","SU070","AML"
"SRR2775785","LSC","singles-SU070-LSC-27","SU070","AML"
"SRR2775786","LSC","singles-SU070-LSC-28","SU070","AML"
"SRR2775787","LSC","singles-SU070-LSC-29","SU070","AML"
"SRR2775788","LSC","singles-SU070-LSC-30","SU070","AML"
"SRR2775789","LSC","singles-SU070-LSC-31","SU070","AML"
"SRR2775790","LSC","singles-SU070-LSC-32","SU070","AML"
"SRR2775791","LSC","singles-SU070-LSC-33","SU070","AML"
"SRR2775792","LSC","singles-SU070-LSC-34","SU070","AML"
"SRR2775793","LSC","singles-SU070-LSC-35","SU070","AML"
"SRR2775794","LSC","singles-SU070-LSC-36","SU070","AML"
"SRR2775795","LSC","singles-SU070-LSC-37","SU070","AML"
"SRR2775796","LSC","singles-SU070-LSC-38","SU070","AML"
"SRR2775797","LSC","singles-SU070-LSC-39","SU070","AML"
"SRR2775798","LSC","singles-SU070-LSC-40","SU070","AML"
"SRR2775799","LSC","singles-SU070-LSC-41","SU070","AML"
"SRR2775800","LSC","singles-SU070-LSC-42","SU070","AML"
"SRR2775801","LSC","singles-SU070-LSC-43","SU070","AML"
"SRR2775802","LSC","singles-SU070-LSC-44","SU070","AML"
"SRR2775803","LSC","singles-SU070-LSC-45","SU070","AML"
